metodo,tempo,iteracoes
mergeSort_32_numeros,378900,780
mergeSort_2048_numeros,8546900,99206
mergeSort_1048576_numeros,894892000,88458336
mergeSort_32_numeros,30900,774
mergeSort_2048_numeros,2024700,99168
mergeSort_1048576_numeros,682246200,88454396
mergeSort_32_numeros,66800,782
mergeSort_2048_numeros,2402200,99150
mergeSort_1048576_numeros,487170000,88454432
mergeSort_32_numeros,168800,784
mergeSort_2048_numeros,835600,99196
mergeSort_1048576_numeros,599360800,88456868
mergeSort_32_numeros,273700,780
mergeSort_2048_numeros,3613400,99208
mergeSort_1048576_numeros,492555400,88457474
mergeSort_32_numeros,28800,768
mergeSort_2048_numeros,1110300,99236
mergeSort_1048576_numeros,470202800,88456266
mergeSort_32_numeros,29700,780
mergeSort_2048_numeros,763200,99296
mergeSort_1048576_numeros,461381300,88451888
mergeSort_32_numeros,30600,772
mergeSort_2048_numeros,618600,99164
mergeSort_1048576_numeros,427194600,88455956
mergeSort_32_numeros,19400,778
mergeSort_2048_numeros,1248200,99268
mergeSort_1048576_numeros,422970700,88454420
mergeSort_32_numeros,32900,780
mergeSort_2048_numeros,1429800,99232
mergeSort_1048576_numeros,423208300,88455744
mergeSort_32_numeros,28100,774
mergeSort_2048_numeros,940000,99232
mergeSort_1048576_numeros,623353200,88456260
mergeSort_32_numeros,25200,780
mergeSort_2048_numeros,913600,99252
mergeSort_1048576_numeros,503907500,88454628
mergeSort_32_numeros,24600,782
mergeSort_2048_numeros,554400,99240
mergeSort_1048576_numeros,470747700,88457488
mergeSort_32_numeros,24600,768
mergeSort_2048_numeros,1898700,99196
mergeSort_1048576_numeros,409547300,88456340
mergeSort_32_numeros,32700,768
mergeSort_2048_numeros,1404200,99208
mergeSort_1048576_numeros,410986500,88457830
mergeSort_32_numeros,19500,782
mergeSort_2048_numeros,846200,99232
mergeSort_1048576_numeros,427731800,88455870
mergeSort_32_numeros,33800,786
mergeSort_2048_numeros,548400,99236
mergeSort_1048576_numeros,497895500,88458208
mergeSort_32_numeros,17300,784
mergeSort_2048_numeros,769500,99216
mergeSort_1048576_numeros,649776000,88452580
mergeSort_32_numeros,28200,788
mergeSort_2048_numeros,984000,99180
mergeSort_1048576_numeros,576626200,88455188
mergeSort_32_numeros,22500,782
mergeSort_2048_numeros,1146400,99100
mergeSort_1048576_numeros,523168400,88455552
mergeSort_32_numeros,26900,782
mergeSort_2048_numeros,880800,99206
mergeSort_1048576_numeros,598435700,88455546
mergeSort_32_numeros,31500,784
mergeSort_2048_numeros,1108900,99280
mergeSort_1048576_numeros,472571500,88456516
mergeSort_32_numeros,20200,772
mergeSort_2048_numeros,898400,99188
mergeSort_1048576_numeros,513057200,88457526
mergeSort_32_numeros,21500,786
mergeSort_2048_numeros,643300,99178
mergeSort_1048576_numeros,416940500,88456516
mergeSort_32_numeros,26000,772
mergeSort_2048_numeros,988200,99200
mergeSort_1048576_numeros,444301600,88453250
mergeSort_32_numeros,21500,786
mergeSort_2048_numeros,699000,99154
mergeSort_1048576_numeros,412946400,88455460
mergeSort_32_numeros,35500,788
mergeSort_2048_numeros,927600,99310
mergeSort_1048576_numeros,571421400,88452658
mergeSort_32_numeros,30400,774
mergeSort_2048_numeros,1914800,99178
mergeSort_1048576_numeros,607381500,88454226
mergeSort_32_numeros,30400,786
mergeSort_2048_numeros,847800,99198
mergeSort_1048576_numeros,608432700,88456682
mergeSort_32_numeros,23900,780
mergeSort_2048_numeros,785400,99136
mergeSort_1048576_numeros,607372300,88453754
mergeSort_32_numeros,51400,782
mergeSort_2048_numeros,1289100,99162
mergeSort_1048576_numeros,609530500,88457218
mergeSort_32_numeros,51600,786
mergeSort_2048_numeros,2152800,99240
mergeSort_1048576_numeros,600146100,88455570
mergeSort_32_numeros,37200,784
mergeSort_2048_numeros,1420800,99288
mergeSort_1048576_numeros,607104300,88454588
mergeSort_32_numeros,49700,782
mergeSort_2048_numeros,2041300,99130
mergeSort_1048576_numeros,538377800,88457606
mergeSort_32_numeros,28400,782
mergeSort_2048_numeros,1511800,99248
mergeSort_1048576_numeros,408218100,88458444
mergeSort_32_numeros,27000,782
mergeSort_2048_numeros,1401000,99232
mergeSort_1048576_numeros,420523100,88453016
mergeSort_32_numeros,38700,780
mergeSort_2048_numeros,1498000,99226
mergeSort_1048576_numeros,438599800,88455152
mergeSort_32_numeros,35000,782
mergeSort_2048_numeros,1577100,99238
mergeSort_1048576_numeros,424084500,88454722
mergeSort_32_numeros,24100,780
mergeSort_2048_numeros,686400,99094
mergeSort_1048576_numeros,426377400,88460420
mergeSort_32_numeros,36500,786
mergeSort_2048_numeros,1043100,99202
mergeSort_1048576_numeros,413173600,88455998
mergeSort_32_numeros,35100,778
mergeSort_2048_numeros,1282300,99220
mergeSort_1048576_numeros,409247800,88454148
mergeSort_32_numeros,34200,784
mergeSort_2048_numeros,655200,99206
mergeSort_1048576_numeros,421414800,88454802
mergeSort_32_numeros,37100,780
mergeSort_2048_numeros,1777300,99224
mergeSort_1048576_numeros,408299300,88453606
mergeSort_32_numeros,35900,776
mergeSort_2048_numeros,1006100,99166
mergeSort_1048576_numeros,452655200,88454008
mergeSort_32_numeros,31800,782
mergeSort_2048_numeros,1020500,99232
mergeSort_1048576_numeros,417029800,88455774
mergeSort_32_numeros,37000,780
mergeSort_2048_numeros,1073600,99274
mergeSort_1048576_numeros,414287500,88455424
mergeSort_32_numeros,35200,792
mergeSort_2048_numeros,919800,99270
mergeSort_1048576_numeros,413342300,88456554
mergeSort_32_numeros,36000,774
mergeSort_2048_numeros,1446300,99234
mergeSort_1048576_numeros,425787700,88453408
mergeSort_32_numeros,22000,784
mergeSort_2048_numeros,630300,99290
mergeSort_1048576_numeros,454019000,88456480
mergeSort_32_numeros,25200,780
mergeSort_2048_numeros,673100,99306
mergeSort_1048576_numeros,416262400,88457890
mergeSort_32_numeros,27000,766
mergeSort_2048_numeros,1404700,99260
mergeSort_1048576_numeros,424190500,88456644
mergeSort_32_numeros,35400,782
mergeSort_2048_numeros,1120200,99192
mergeSort_1048576_numeros,417279200,88456614
mergeSort_32_numeros,25800,788
mergeSort_2048_numeros,670300,99106
mergeSort_1048576_numeros,460446800,88454222
mergeSort_32_numeros,28600,780
mergeSort_2048_numeros,816800,99214
mergeSort_1048576_numeros,419830400,88451588
mergeSort_32_numeros,28100,774
mergeSort_2048_numeros,694400,99244
mergeSort_1048576_numeros,422027100,88459082
mergeSort_32_numeros,23100,784
mergeSort_2048_numeros,927600,99180
mergeSort_1048576_numeros,407910400,88456566
mergeSort_32_numeros,26900,778
mergeSort_2048_numeros,1098200,99302
mergeSort_1048576_numeros,430749100,88456358
mergeSort_32_numeros,32800,776
mergeSort_2048_numeros,825500,99266
mergeSort_1048576_numeros,413272300,88456234
mergeSort_32_numeros,30300,782
mergeSort_2048_numeros,635600,99302
mergeSort_1048576_numeros,414485300,88453760
mergeSort_32_numeros,36100,782
mergeSort_2048_numeros,709300,99310
mergeSort_1048576_numeros,418651500,88454996
mergeSort_32_numeros,37600,784
mergeSort_2048_numeros,1576900,99246
mergeSort_1048576_numeros,445132000,88453636
mergeSort_32_numeros,29900,776
mergeSort_2048_numeros,888800,99270
mergeSort_1048576_numeros,413244900,88457916
mergeSort_32_numeros,37300,770
mergeSort_2048_numeros,1374800,99178
